id,area_name,homicide_2020,assault_2020,assault_2021,assault_2022,assault_2023,assault_rate_2020,assault_rate_2021,assault_rate_2022,assault_rate_2023,homicide_2021,homicide_2022,homicide_2023,homicide_rate_2020,homicide_rate_2021,homicide_rate_2022,homicide_rate_2023,robbery_2020,robbery_2021,robbery_2022,robbery_2023,robbery_rate_2020,robbery_rate_2021,robbery_rate_2022,robbery_rate_2023,shooting_2020,shooting_2021,shooting_2022,shooting_2023,shooting_rate_2020,shooting_rate_2021,shooting_rate_2022,shooting_rate_2023
1,South Eglinton-Davisville,1,82,121,128,101,396.8446045,577.4553833,597.6281738,459.3623657,1,0,0,4.839568138,4.772358418,0,0,16,11,16,3,77.43309021,52.49594498,74.70352173,13.64442635,1,0,1,0,4.839568138,0,4.668970108,0
2,North Toronto,1,72,104,130,105,525.9697266,740.5825195,893.8393555,696.4249878,0,0,0,7.305135727,0,0,0,3,10,11,14,21.91540718,71.20985413,75.63256073,92.85666656,0,1,1,0,0,7.120985508,6.875687599,0
3,Dovercourt Village,1,75,101,95,104,542.7310181,734.3318481,688.9549561,751.6080322,0,0,0,7.236413479,0,0,0,15,22,10,21,108.5462036,159.9534607,72.52157593,151.7669983,0,2,0,1,0,14.54122448,0,7.227000237
4,Junction-Wallace Emerson,0,169,178,139,229,661.9922485,696.6459351,539.2404175,872.7134399,0,0,0,0,0,0,0,22,11,20,18,86.17650604,43.05115128,77.58854675,68.5975647,5,3,3,2,19.58556938,11.74122334,11.63828182,7.621951103
5,Yonge-Bay Corridor,0,383,323,443,543,2842.933594,2343.636719,3116.864746,3686.104248,1,1,1,0,7.255840778,7.035812378,6.788405418,55,51,55,62,408.2541504,370.0478821,386.9696655,420.881134,2,0,1,2,14.84560585,0,7.035812378,13.57681084
6,Bay-Cloverhill,0,101,147,120,142,573.7006836,817.256897,647.5985107,745.2112427,0,0,0,0,0,0,0,19,23,19,20,107.9238815,127.8701248,102.5364304,104.9593277,0,0,1,1,0,0,5.396654129,5.24796629
7,Bendale-Glen Andrew,1,134,129,166,237,660.0985107,634.6551514,809.9536743,1140.904053,0,2,0,4.92610836,0,9.758477211,0,19,49,54,55,93.59606171,241.0705566,263.4789124,264.7667542,7,5,7,1,34.48275757,24.59903526,34.15467072,4.813941002
8,Downsview,2,128,134,153,208,766.6506958,801.3395386,906.0223999,1223.313477,0,0,0,11.97891712,0,0,0,7,11,25,28,41.9262085,65.78160858,148.0428772,164.6768188,3,0,4,3,17.96837616,0,23.68685913,17.64394569
9,Oakdale-Beverley Heights,0,235,293,310,447,1111.741943,1388.428223,1458.480347,2078.779785,0,2,1,0,0,9.409550667,4.650513649,50,29,39,30,236.5408325,137.4212189,183.4862366,139.5154114,5,9,7,6,23.65408325,42.64796448,32.9334259,27.9030838
10,Avondale,1,43,56,37,50,278.2991333,360.2676392,234.1772156,309.6166992,0,1,0,6.472073078,0,6.32911396,0,9,8,4,6,58.24865723,51.4668045,25.31645584,37.15400314,1,0,0,1,6.472073078,0,0,6.192333698
11,East Willowdale,0,40,53,58,48,227.9981689,299.8415833,322.688324,262.5102539,0,0,0,0,0,0,0,18,9,12,17,102.5991821,50.91649628,66.76309967,92.97238159,2,1,2,1,11.39990902,5.657388687,11.12718391,5.468963623
12,Yonge-Doris,0,64,77,83,104,281.0839233,338.3425598,361.718811,447.619873,0,0,1,0,0,0,4.304037094,12,29,7,14,52.70323563,127.4277191,30.50640678,60.25651932,0,0,0,0,0,0,0,0
13,Fenside-Parkwoods,0,112,84,103,130,501.0961609,375.956665,457.4524841,567.4625854,1,0,1,0,4.475674629,0,4.365096569,5,8,9,14,22.37036324,35.80539703,39.97157669,61.11135483,3,2,3,1,13.42221832,8.951349258,13.32385826,4.365096569
14,Parkwoods-O'Connor Hills,1,37,51,62,96,249.8818054,346.750061,420.5670776,649.1749878,0,0,0,6.75356245,0,0,0,4,15,7,6,27.0142498,101.9853134,47.48337936,40.57343674,2,2,2,2,13.5071249,13.59804153,13.56667995,13.52447891
15,East L'Amoreaux,0,104,79,77,83,443.0056152,336.6286011,325.3750305,346.0063477,0,0,0,0,0,0,0,11,7,7,10,46.8563652,29.82785034,29.57954788,41.68751144,3,2,2,4,12.77900791,8.5222435,8.451299667,16.67500496
16,L'Amoreaux West,3,82,101,95,118,345.8018799,425.173645,396.0478516,484.1224365,0,1,1,12.65128803,0,4.168924809,4.102732182,16,8,10,19,67.47354126,33.67712021,41.68924713,77.95191956,8,3,4,1,33.73677063,12.62892056,16.67569923,4.102732182
17,Malvern East,1,167,142,129,145,602.5617676,513.5438232,463.6785278,516.0509644,1,1,0,3.608154535,3.616505623,3.594407082,0,17,22,18,20,61.33862686,79.56312561,64.69932556,71.17944336,10,4,5,3,36.08154297,14.46602249,17.97203636,10.67691612
18,Malvern West,0,72,89,85,93,375.4693298,465.5542297,442.2706604,479.0851135,2,0,0,0,10.46189213,0,0,7,20,13,14,36.50396347,104.618927,67.64139557,72.12033844,5,6,2,3,26.0742588,31.38567734,10.40636826,15.4543581
19,Morningside Heights,0,82,86,101,119,297.1983643,312.2617188,364.134552,422.4801941,2,0,0,0,7.261900425,0,0,18,12,27,23,65.23866272,43.5714035,97.34290314,81.65583801,4,3,2,8,14.49748135,10.89285088,7.210585117,28.40203094
20,West Rouge,1,66,66,62,70,299.8500671,299.9182129,279.7202759,312.5558167,1,0,1,4.54318285,4.544215202,0,4.465083122,26,7,14,22,118.12275699999999,31.80950737,63.16264343,98.23182678,2,6,3,3,9.0863657,27.26529121,13.53485203,13.39524937
21,Woburn North,1,181,178,183,186,623.2352905,614.725769,627.3568726,630.5084839,0,2,2,3.443289042,0,6.856359482,6.779661179,26,10,23,22,89.5255127,34.53515625,78.84812927,74.57627106,2,7,7,4,6.886578083,24.17461014,23.99725723,13.55932236
22,Golfdale-Cedarbrae-Woburn,1,168,185,198,193,596.3579712,656.9135742,698.3880615,673.6239624,2,1,1,3.549749851,7.101768494,3.527212381,3.490279675,28,21,16,32,99.39299011,74.56856537,56.4353981,111.6889496,12,13,7,3,42.59699631,46.16149521,24.69048691,10.47083855
